vehicle_id,speed,travel_time,waiting_time,distance
vert.0,11.5303,33.0000,0.0000,380.5000
vert.1,11.5303,33.0000,0.0000,380.5000
vert.2,10.5694,36.0000,0.0000,380.5000
vert.3,10.8714,35.0000,0.0000,380.5000
vert.4,10.8714,35.0000,0.0000,380.5000
vert.5,10.5694,36.0000,0.0000,380.5000
vert.6,10.5694,36.0000,0.0000,380.5000
vert.7,10.8714,35.0000,0.0000,380.5000
vert.8,10.8714,35.0000,0.0000,380.5000
vert.9,10.8714,35.0000,0.0000,380.5000
anti.0,11.6824,67.0000,0.0000,782.7200
vert.10,10.5694,36.0000,0.0000,380.5000
anti.1,11.6824,67.0000,0.0000,782.7200
diag.0,11.0242,71.0000,0.0000,782.7200
diag.1,10.4363,75.0000,0.0000,782.7200
diag.2,10.0349,78.0000,0.0000,782.7200
anti.2,9.7840,80.0000,0.0000,782.7200
diag.3,9.9078,79.0000,0.0000,782.7200
diag.4,10.0349,78.0000,0.0000,782.7200
vert.11,10.0132,38.0000,0.0000,380.5000
anti.3,9.7840,80.0000,0.0000,782.7200
diag.5,9.9078,79.0000,0.0000,782.7200
anti.4,9.6632,81.0000,0.0000,782.7200
anti.5,9.6632,81.0000,0.0000,782.7200
anti.6,9.5454,82.0000,0.0000,782.7200
anti.7,9.7840,80.0000,0.0000,782.7200
diag.6,9.3181,84.0000,0.0000,782.7200
diag.7,9.4304,83.0000,0.0000,782.7200
anti.8,9.6632,81.0000,0.0000,782.7200
anti.9,9.6632,81.0000,0.0000,782.7200
diag.8,9.3181,84.0000,0.0000,782.7200
diag.9,9.1014,86.0000,0.0000,782.7200
anti.10,9.3181,84.0000,0.0000,782.7200
anti.11,9.3181,84.0000,0.0000,782.7200
cross.0,3.6238,105.0000,66.0000,380.5000
anti.12,9.3181,84.0000,0.0000,782.7200
diag.10,8.6969,90.0000,0.0000,782.7200
vert.12,7.7653,49.0000,1.0000,380.5000
cross.1,3.5561,107.0000,65.0000,380.5000
diag.11,8.6969,90.0000,0.0000,782.7200
anti.13,9.2085,85.0000,0.0000,782.7200
anti.14,9.3181,84.0000,0.0000,782.7200
anti.15,9.3181,84.0000,0.0000,782.7200
diag.12,8.5078,92.0000,0.0000,782.7200
anti.16,9.2085,85.0000,0.0000,782.7200
diag.13,8.3268,94.0000,0.0000,782.7200
anti.17,9.1014,86.0000,0.0000,782.7200
diag.14,8.2392,95.0000,0.0000,782.7200
vert.13,7.1792,53.0000,0.0000,380.5000
anti.18,9.1014,86.0000,0.0000,782.7200
diag.15,8.2392,95.0000,0.0000,782.7200
anti.19,8.9968,87.0000,0.0000,782.7200
diag.16,7.6737,102.0000,1.0000,782.7200
anti.20,8.4163,93.0000,0.0000,782.7200
anti.21,8.4163,93.0000,0.0000,782.7200
anti.22,8.4163,93.0000,0.0000,782.7200
anti.23,8.5078,92.0000,0.0000,782.7200
